form,reason,interaction_pages
fucus rigidus,"names a class or a group, not this page's substance (no variant of 'agar' and no UNII name for it)",0
fucus spiniformis,"names a class or a group, not this page's substance (no variant of 'agar' and no UNII name for it)",0
fungifos,"names a class or a group, not this page's substance (no variant of 'tolciclate' and no UNII name for it)",0
furanosterols,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
furans,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
furostanols,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
gadobutrol usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
galactose usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
galactus,"names a class or a group, not this page's substance (no variant of 'insulin glargine' and no UNII name for it)",0
gemcis,ambiguous: 2 pages carry this name and they are not forms of one substance,0
gemesis,"names a class or a group, not this page's substance (no variant of 'becaplermin' and no UNII name for it)",0
generic tacrolimus,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",0
genpharm s clarithromycin tablets,"names a class or a group, not this page's substance (no variant of 'clarithromycin' and no UNII name for it)",0
gentamicini sulfas,"names a class or a group, not this page's substance (no variant of 'gentamicin sulfate' and no UNII name for it)",0
gepants,"names a class or a group, not this page's substance (no variant of 'rimegepant' and no UNII name for it)",0
ginger phenols,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
ginkgo flavones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
ginkgolides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
ginseng panax quinquefolius,"names a class or a group, not this page's substance (no variant of 'american ginseng' and no UNII name for it)",0
glehnia littoralis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
gliflozins,"names a class or a group, not this page's substance (no variant of 'dapagliflozin' and no UNII name for it)",0
glp 1 ras,"names a class or a group, not this page's substance (no variant of 'semaglutide' and no UNII name for it)",0
glucagon like peptide 1 analogues,"names a class or a group, not this page's substance (no variant of 'liraglutide' and no UNII name for it)",0
glucagon like peptide 1 receptor agonists,"names a class or a group, not this page's substance (no variant of 'semaglutide' and no UNII name for it)",0
glucophage xr 750 mg tablets,"names a class or a group, not this page's substance (no variant of 'metformin c4h11n5' and no UNII name for it)",0
glucophage xr tablets,"names a class or a group, not this page's substance (no variant of 'metformin c4h11n5' and no UNII name for it)",0
glucose anhydrous,ambiguous: 3 pages carry this name and they are not forms of one substance,0
glucose tablets,"names a class or a group, not this page's substance (no variant of 'dextrose unspecified form' and no UNII name for it)",0
glucosinolates,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
glucosum anhydrous,"names a class or a group, not this page's substance (no variant of 'dextrose unspecified form' and no UNII name for it)",0
glutamic acid usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
glycerides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
glyceroli monostearas,"names a class or a group, not this page's substance (no variant of 'glyceryl 1 stearate cyclooxygenase 2' and no UNII name for it)",0
glycoprotein iib iiia inhibitors,"names a class or a group, not this page's substance (no variant of 'tirofiban' and no UNII name for it)",0
glycopyrronium as,"names a class or a group, not this page's substance (no variant of 'glycopyrronium bromide' and no UNII name for it)",0
glycosylceramides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
golden eye grass,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
gramicidin usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
gramicidina s,"names a class or a group, not this page's substance (no variant of 'gramicidin s small molecule' and no UNII name for it)",0
gramicidine s,"names a class or a group, not this page's substance (no variant of 'gramicidin s small molecule' and no UNII name for it)",0
gramicidins,"names a class or a group, not this page's substance (no variant of 'gramicidin mixture' and no UNII name for it)",0
grass leaved calamus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
guggulsterones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
gymnemic acids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
hainol 18ss,"names a class or a group, not this page's substance (no variant of 'stearyl alcohol' and no UNII name for it)",0
haliotis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
hamamelis,ambiguous: 2 pages carry this name and they are not forms of one substance,0
heart drops,"names a class or a group, not this page's substance (no variant of 'beef heart' and no UNII name for it)",0
hedyotis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
helianthemum nummularium flos,"names a class or a group, not this page's substance (no variant of 'helianthemum nummularium flower' and no UNII name for it)",0
heliopsis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
hemidesmus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
hepar sulphuris,"names a class or a group, not this page's substance (no variant of 'calcium sulfide' and no UNII name for it)",0
hericenones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
hevizos,"names a class or a group, not this page's substance (no variant of 'epervudine' and no UNII name for it)",0
hibiscus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
hif stabilisers,"names a class or a group, not this page's substance (no variant of 'roxadustat' and no UNII name for it)",0
human menopausal gonadotrophins,"names a class or a group, not this page's substance (no variant of 'follitropin' and no UNII name for it)",0
human menopausal gonadotropins,"names a class or a group, not this page's substance (no variant of 'follitropin' and no UNII name for it)",0
hyaluronic acid 10mg vaginal suppositories,"names a class or a group, not this page's substance (no variant of 'hyaluronate' and no UNII name for it)",0
hyaluronidases,"names a class or a group, not this page's substance (no variant of 'hyaluronidase human recombinant' and no UNII name for it)",0
hydrocortisone usp rs,ambiguous: 9 pages carry this name and they are not forms of one substance,0
hydrocortisoni acetas,"names a class or a group, not this page's substance (no variant of 'hydrocortisone acetate' and no UNII name for it)",0
hydrocortisoni natrii succinas,"names a class or a group, not this page's substance (no variant of 'hydrocortisone hemisuccinate anhydrous' and no UNII name for it)",0
hydrogenated ergot alkaloids,"names a class or a group, not this page's substance (no variant of 'ergoloid mesylates' and no UNII name for it)",0
hydrogenated tallow acids,"names a class or a group, not this page's substance (no variant of 'stearic acid' and no UNII name for it)",0
hydrogenated tallow fatty acids,"names a class or a group, not this page's substance (no variant of 'stearic acid' and no UNII name for it)",0
hydrotalcite anhydrous,"names a class or a group, not this page's substance (no variant of 'aluminum magnesium hydroxide carbonate' and no UNII name for it)",0
hydroxide ions,"names a class or a group, not this page's substance (no variant of 'aqua' and no UNII name for it)",0
hydroxocobalaminum anhydrous,"names a class or a group, not this page's substance (no variant of 'hydroxocobalamin' and no UNII name for it)",0
hydroxyethyl adenosine analogs,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
hymovis,"names a class or a group, not this page's substance (no variant of 'hyaluronic acid non animal stabilized' and no UNII name for it)",0
hyperacute pancreas,"names a class or a group, not this page's substance (no variant of 'algenpantucel l' and no UNII name for it)",0
hyperimmune milk peptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
hyperpolarized xenon gas,"names a class or a group, not this page's substance (no variant of 'xenon' and no UNII name for it)",0
hypogastric nerve plexus drops,"names a class or a group, not this page's substance (no variant of 'bos taurus nerve' and no UNII name for it)",0
hypothalamus drops,"names a class or a group, not this page's substance (no variant of 'bos taurus hypothalamus' and no UNII name for it)",0
hypoxia inducible factor stabilisers,"names a class or a group, not this page's substance (no variant of 'roxadustat' and no UNII name for it)",0
hypsizygus marmoreus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
hyruan plus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
hyzaar 100 25 mg tablets,"names a class or a group, not this page's substance (no variant of 'losartan' and no UNII name for it)",0
ibudros,"names a class or a group, not this page's substance (no variant of 'ibuproxam' and no UNII name for it)",0
idiazole 20mg dr tabs,"names a class or a group, not this page's substance (no variant of 'rabeprazole' and no UNII name for it)",0
imids,"names a class or a group, not this page's substance (no variant of 'lenalidomide' and no UNII name for it)",0
immunoglobulin antivenom crotalus,"names a class or a group, not this page's substance (no variant of 'antivenin crotalidae polyvalent' and no UNII name for it)",0
inalimarev cea muc 1 vaccinia virus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
inderal la 160 mg capsules,"names a class or a group, not this page's substance (no variant of 'propranolol' and no UNII name for it)",0
indian sphaeranthus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
indinaviri sulfas,"names a class or a group, not this page's substance (no variant of 'indinavir anhydrous' and no UNII name for it)",0
indomethacin sodium anhydrous,"names a class or a group, not this page's substance (no variant of 'indometacin' and no UNII name for it)",0
inductos,"names a class or a group, not this page's substance (no variant of 'dibotermin alfa' and no UNII name for it)",0
initiss,"names a class or a group, not this page's substance (no variant of 'cilazapril anhydrous' and no UNII name for it)",0
injectable somatostatin receptor ligands,"names a class or a group, not this page's substance (no variant of 'octreotide' and no UNII name for it)",0
inner ear drops,"names a class or a group, not this page's substance (no variant of 'sus scrofa ear' and no UNII name for it)",0
inorganic nitrates,ambiguous: 2 pages carry this name and they are not forms of one substance,0
insulin zinc suspension amorphous,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
intralipid fresenius,"names a class or a group, not this page's substance (no variant of 'soybean oil' and no UNII name for it)",0
intravenous glucocorticoids,"names a class or a group, not this page's substance (no variant of 'methylprednisolone' and no UNII name for it)",0
intravenous thrombolysis,"names a class or a group, not this page's substance (no variant of 'alteplase' and no UNII name for it)",0
iodine as,"names a class or a group, not this page's substance (no variant of 'potassium iodide' and no UNII name for it)",0
ir tacrolimus,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",0
iridoid glycosides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
iron as ferrous,ambiguous: 3 pages carry this name and they are not forms of one substance,0
iron bis,ambiguous: 2 pages carry this name and they are not forms of one substance,0
irvingia gabonensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
isatis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
isobutylamides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
isodon rubescens,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
isoflavones,ambiguous: 2 pages carry this name and they are not forms of one substance,0
isomaltooligosaccharides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
isoprenalini sulfas,"names a class or a group, not this page's substance (no variant of 'isoprenaline' and no UNII name for it)",0
isoproterenol sulfate anhydrous,"names a class or a group, not this page's substance (no variant of 'isoprenaline' and no UNII name for it)",0
isosorbidi dinitras dilutes,"names a class or a group, not this page's substance (no variant of 'isosorbide dinitrate' and no UNII name for it)",0
isosorbidi dinitras dilutus,"names a class or a group, not this page's substance (no variant of 'isosorbide dinitrate' and no UNII name for it)",0
isothiocyanates,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
ispaghula husks,"names a class or a group, not this page's substance (no variant of 'plantago seed' and no UNII name for it)",0
janus kinase inhibitors,"names a class or a group, not this page's substance (no variant of 'oclacitinib' and no UNII name for it)",0
job s tears,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
jujube seeds,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
jynneos,"names a class or a group, not this page's substance (no variant of 'vaccinia virus modified strain ankara bavarian nordic non replicating antigen' and no UNII name for it)",0
kali phos,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
kalii citras,"names a class or a group, not this page's substance (no variant of 'potassium citrate' and no UNII name for it)",0
kanamycini monosulfas,"names a class or a group, not this page's substance (no variant of 'kanamycin a' and no UNII name for it)",0
kanamycins,"names a class or a group, not this page's substance (no variant of 'kanamycin a' and no UNII name for it)",0
kavalactones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
keratin peptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
keta s,"names a class or a group, not this page's substance (no variant of 'esketamine' and no UNII name for it)",0
ketamine hydrochloride s,"names a class or a group, not this page's substance (no variant of 'esketamine' and no UNII name for it)",0
ketanest s,"names a class or a group, not this page's substance (no variant of 'esketamine' and no UNII name for it)",0
ketas,"names a class or a group, not this page's substance (no variant of 'ibudilast' and no UNII name for it)",0
ketone salts,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
kidney drops,"names a class or a group, not this page's substance (no variant of 'beef kidney' and no UNII name for it)",0
kilfrost abc s,"names a class or a group, not this page's substance (no variant of 'propanediol' and no UNII name for it)",0
kitnos,"names a class or a group, not this page's substance (no variant of 'etofamide' and no UNII name for it)",0
kns 760704 anhydrous,"names a class or a group, not this page's substance (no variant of 'dexpramipexole' and no UNII name for it)",0
krypton 81mkr gas,"names a class or a group, not this page's substance (no variant of 'krypton kr 81m' and no UNII name for it)",0
kutkins,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
l arginine usp rs,ambiguous: 5 pages carry this name and they are not forms of one substance,0
l ppds,"names a class or a group, not this page's substance (no variant of 'latanoprost' and no UNII name for it)",0
lacticum acidum hpus,ambiguous: 7 pages carry this name and they are not forms of one substance,0
lactitol anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
lactitol usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
lactobacillus rhamnosus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
lactococcus rhamnosus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
lactones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
lactopress,"names a class or a group, not this page's substance (no variant of 'alpha lactose' and no UNII name for it)",0
lactopress anhydrous,"names a class or a group, not this page's substance (no variant of 'lactose anhydrous' and no UNII name for it)",0
lactosum anhydrous,"names a class or a group, not this page's substance (no variant of 'lactose anhydrous' and no UNII name for it)",0
lactotripeptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
lam 105 anhydrous,"names a class or a group, not this page's substance (no variant of 'fasoracetam' and no UNII name for it)",0
lam105 anhydrous,"names a class or a group, not this page's substance (no variant of 'fasoracetam' and no UNII name for it)",0
lamivudine impurity c rs,"names a class or a group, not this page's substance (no variant of 'cytosine' and no UNII name for it)",0
lamivudine impurity e rs,"names a class or a group, not this page's substance (no variant of 'uracil' and no UNII name for it)",0
lamivudine impurity i rs,"names a class or a group, not this page's substance (no variant of 'troxacitabine' and no UNII name for it)",0
land cress,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
large intestine drops,"names a class or a group, not this page's substance (no variant of 'bos taurus large intestine' and no UNII name for it)",0
lavifos,"names a class or a group, not this page's substance (no variant of 'temefos' and no UNII name for it)",0
lcp tacro tablets,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",0
lcp tacrolimus,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",0
lecibis,"names a class or a group, not this page's substance (no variant of 'bephenium' and no UNII name for it)",0
leflunomide related compound b rs,"names a class or a group, not this page's substance (no variant of 'teriflunomide' and no UNII name for it)",0
leucoanthocyanidins,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
leuconostoc lactis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
leuconostoc mesentoroides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
levofloxacine anhydrous,"names a class or a group, not this page's substance (no variant of 'levofloxacin anhydrous' and no UNII name for it)",0
levofloxacino anhydrous,"names a class or a group, not this page's substance (no variant of 'levofloxacin anhydrous' and no UNII name for it)",0
levothyroxinum natricum anhydrous,"names a class or a group, not this page's substance (no variant of 'levothyroxine' and no UNII name for it)",0
levotuss,"names a class or a group, not this page's substance (no variant of 'levodropropizine' and no UNII name for it)",0
lh menotropins,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
lignans,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
lignocaine as,"names a class or a group, not this page's substance (no variant of 'lidocaine' and no UNII name for it)",0
lipid microspheres,"names a class or a group, not this page's substance (no variant of 'perflutren' and no UNII name for it)",0
liplacis,"names a class or a group, not this page's substance (no variant of 'cisplatin' and no UNII name for it)",0
lipocol forte capsules,"names a class or a group, not this page's substance (no variant of 'lovastatin' and no UNII name for it)",0
lipocol s,"names a class or a group, not this page's substance (no variant of 'stearyl alcohol' and no UNII name for it)",0
lithii carbonas,"names a class or a group, not this page's substance (no variant of 'lithium carbonate' and no UNII name for it)",0
lithonate s,"names a class or a group, not this page's substance (no variant of 'lithium citrate c6h13li3o11' and no UNII name for it)",0
little club moss,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
liver drops,"names a class or a group, not this page's substance (no variant of 'beef liver' and no UNII name for it)",0
lomades,"names a class or a group, not this page's substance (no variant of 'benzoxonium' and no UNII name for it)",0
lonzest gms,"names a class or a group, not this page's substance (no variant of 'glyceryl 1 stearate cyclooxygenase 2' and no UNII name for it)",0
loranthus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
loratadine related compound a rs,"names a class or a group, not this page's substance (no variant of 'desloratadine' and no UNII name for it)",0
lorqess,"names a class or a group, not this page's substance (no variant of 'lorcaserin' and no UNII name for it)",0
lorvas,"names a class or a group, not this page's substance (no variant of 'indapamide' and no UNII name for it)",0
low dose corticosteroids,"names a class or a group, not this page's substance (no variant of 'prednisone' and no UNII name for it)",0
low dose tacrolimus,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",0
lubricant eye gel drops,"names a class or a group, not this page's substance (no variant of 'hypromellose' and no UNII name for it)",0
lumykras,"names a class or a group, not this page's substance (no variant of 'sotorasib' and no UNII name for it)",0
lung drops,"names a class or a group, not this page's substance (no variant of 'beef lung' and no UNII name for it)",0
ly lis,"names a class or a group, not this page's substance (no variant of 'insulin lispro' and no UNII name for it)",0
lymph drops,"names a class or a group, not this page's substance (no variant of 'bos taurus lymph vessel' and no UNII name for it)",0
m g 8926 as,"names a class or a group, not this page's substance (no variant of 'droprenilamine' and no UNII name for it)",0
macaenes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
macamides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
magaldrate anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
magic mushrooms,"names a class or a group, not this page's substance (no variant of 'psilocybine' and no UNII name for it)",0
magnesia carbonica hpus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
magnesia oxydata hpus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
magnesii stearas,"names a class or a group, not this page's substance (no variant of 'stearic acid' and no UNII name for it)",0
magnesii sulfatis heptahydras,"names a class or a group, not this page's substance (no variant of 'magnesium sulfate heptahydrate structure wrugwibcxhjtdg' and no UNII name for it)",0
magnesium carbonate anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
magnesium oxide usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
magnesium sulfate anhydrous,ambiguous: 3 pages carry this name and they are not forms of one substance,0
maltose anhydrous,"names a class or a group, not this page's substance (no variant of 'beta maltose' and no UNII name for it)",0
malus pumila flos,"names a class or a group, not this page's substance (no variant of 'malus domestica flower' and no UNII name for it)",0
malva sylvestris,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
mammary drops,"names a class or a group, not this page's substance (no variant of 'sus scrofa mammary gland' and no UNII name for it)",0
mangafodipir trisodium anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
manganese as,"names a class or a group, not this page's substance (no variant of 'manganese chloride h8cl2mno4' and no UNII name for it)",0
manganese sulfate component of multrys,"names a class or a group, not this page's substance (no variant of 'manganese sulfate anhydrous mno4s' and no UNII name for it)",0
manganous,ambiguous: 7 pages carry this name and they are not forms of one substance,0
manitimus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
mannose usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
marine 3 fatty acids,"names a class or a group, not this page's substance (no variant of 'omega 3 fatty acids' and no UNII name for it)",0
marine n 3 polyunsaturated fatty acids,"names a class or a group, not this page's substance (no variant of 'omega 3 fatty acids' and no UNII name for it)",0
massage cream for stretch marks,ambiguous: 6 pages carry this name and they are not forms of one substance,0
matrix applied characterised autologous cultured chondrocytes,"names a class or a group, not this page's substance (no variant of 'autologous cultured chondrocytes' and no UNII name for it)",0
maveropepimut s,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
mdz ns,"names a class or a group, not this page's substance (no variant of 'midazolam' and no UNII name for it)",0
meclizine hcl 25mg chewable tablets,"names a class or a group, not this page's substance (no variant of 'meclozine' and no UNII name for it)",0
meclizine hydrochloride anhydrous,"names a class or a group, not this page's substance (no variant of 'meclozine' and no UNII name for it)",0
meclofenamate sodium anhydrous,"names a class or a group, not this page's substance (no variant of 'meclofenamic acid' and no UNII name for it)",0
medis,"names a class or a group, not this page's substance (no variant of 'sodium bicarbonate chnao3' and no UNII name for it)",0
medroxyprogesteroni acetas,"names a class or a group, not this page's substance (no variant of 'medroxyprogesterone acetate' and no UNII name for it)",0
melosus,"names a class or a group, not this page's substance (no variant of 'meloxicam' and no UNII name for it)",0
menno florades,"names a class or a group, not this page's substance (no variant of 'benzoic acid' and no UNII name for it)",0
mentha viridis,"names a class or a group, not this page's substance (no variant of 'spearmint' and no UNII name for it)",0
meralops,"names a class or a group, not this page's substance (no variant of 'keracyanin cation' and no UNII name for it)",0
mercurous,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
mesalamine granules,"names a class or a group, not this page's substance (no variant of 'mesalazine' and no UNII name for it)",0
methicillin sodium anhydrous,"names a class or a group, not this page's substance (no variant of 'meticillin' and no UNII name for it)",0
methixene hydrochloride anhydrous,"names a class or a group, not this page's substance (no variant of 'metixene' and no UNII name for it)",0
methocillin s,"names a class or a group, not this page's substance (no variant of 'cloxacillin' and no UNII name for it)",0
methotrexate sodium bss plus,"names a class or a group, not this page's substance (no variant of 'oxiglutatione' and no UNII name for it)",0
methylcelluloses,"names a class or a group, not this page's substance (no variant of 'methylcellulose 15 mpa s' and no UNII name for it)",0
methylis hydroxybenzoas,"names a class or a group, not this page's substance (no variant of 'methylparaben' and no UNII name for it)",0
metron s,"names a class or a group, not this page's substance (no variant of 'iproheptine' and no UNII name for it)",0
metronidazoli benzoas,"names a class or a group, not this page's substance (no variant of 'metronidazole benzoate' and no UNII name for it)",0
metropress,"names a class or a group, not this page's substance (no variant of 'metoprolol' and no UNII name for it)",0
mexrenoate potassium anhydrous,"names a class or a group, not this page's substance (no variant of 'mexrenoic acid' and no UNII name for it)",0
mfgr 1877s,"names a class or a group, not this page's substance (no variant of 'vofatamab' and no UNII name for it)",0
mfgr1877s,"names a class or a group, not this page's substance (no variant of 'vofatamab' and no UNII name for it)",0
micardis plus,"names a class or a group, not this page's substance (no variant of 'telmisartan' and no UNII name for it)",0
miconazoli nitras,"names a class or a group, not this page's substance (no variant of 'miconazole' and no UNII name for it)",0
microcos,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
middle ear drops,"names a class or a group, not this page's substance (no variant of 'sus scrofa ear' and no UNII name for it)",0
milibis,"names a class or a group, not this page's substance (no variant of 'glycobiarsol' and no UNII name for it)",0
minocin 100mg capsules,"names a class or a group, not this page's substance (no variant of 'minocycline' and no UNII name for it)",0
mirapex tablets,"names a class or a group, not this page's substance (no variant of 'pramipexole' and no UNII name for it)",0
mirtazapine maleate s,"names a class or a group, not this page's substance (no variant of 'esmirtazapine' and no UNII name for it)",0
mixed amphetamine salts,"names a class or a group, not this page's substance (no variant of 'amfetamine' and no UNII name for it)",0
mixed carotenoids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
mk 5172 anhydrous,"names a class or a group, not this page's substance (no variant of 'grazoprevir anhydrous' and no UNII name for it)",0
mobic 15 mg tablets,"names a class or a group, not this page's substance (no variant of 'meloxicam' and no UNII name for it)",0
molluscs,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
mondo grass,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
monoclonal anti il2r antibodies,"names a class or a group, not this page's substance (no variant of 'daclizumab' and no UNII name for it)",0
morphini sulfas,"names a class or a group, not this page's substance (no variant of 'morphine' and no UNII name for it)",0
mra 003 us,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
mucins,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
mucocis,"names a class or a group, not this page's substance (no variant of 'carbocisteine' and no UNII name for it)",0
mushrooms,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
mvp s,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
myelin sheath drops,"names a class or a group, not this page's substance (no variant of 'bos taurus nerve' and no UNII name for it)",0
mylan quinapril hydrochloride 40 mg tablets,"names a class or a group, not this page's substance (no variant of 'quinapril' and no UNII name for it)",0
mylan s fexofenadine 180 mg tablets,"names a class or a group, not this page's substance (no variant of 'fexofenadine' and no UNII name for it)",0
mylan s finasteride 5 mg tablets,"names a class or a group, not this page's substance (no variant of 'finasteride' and no UNII name for it)",0
n 3 fatty acids,ambiguous: 3 pages carry this name and they are not forms of one substance,0
n 3 polyunsaturated fatty acids,ambiguous: 2 pages carry this name and they are not forms of one substance,0
n 3 pufas,"names a class or a group, not this page's substance (no variant of 'omega 3 fatty acids' and no UNII name for it)",0
n acetylneuraminic acid usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
nab sirolimus,"names a class or a group, not this page's substance (no variant of 'sirolimus' and no UNII name for it)",0
nadidum hpus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
naloxoni hydrochloridum anhydrous,"names a class or a group, not this page's substance (no variant of 'naloxone' and no UNII name for it)",0
naphthalophos,"names a class or a group, not this page's substance (no variant of 'naftalofos' and no UNII name for it)",0
natrii amidotrizoas,"names a class or a group, not this page's substance (no variant of 'diatrizoic acid' and no UNII name for it)",0
natrii citras,"names a class or a group, not this page's substance (no variant of 'anhydrous trisodium citrate' and no UNII name for it)",0
natrii cromoglicas,"names a class or a group, not this page's substance (no variant of 'cromoglicic acid' and no UNII name for it)",0
natrii hydrogenocarbonas,"names a class or a group, not this page's substance (no variant of 'sodium bicarbonate chnao3' and no UNII name for it)",0
natrii nitris,"names a class or a group, not this page's substance (no variant of 'sodium nitrite' and no UNII name for it)",0
natrii salicylas,"names a class or a group, not this page's substance (no variant of 'sodium salicylate c7h5nao3' and no UNII name for it)",0
natrii sulfas anhydricus,"names a class or a group, not this page's substance (no variant of 'sodium sulfate anhydrous na2o4s' and no UNII name for it)",0
natrii thiosulfas,"names a class or a group, not this page's substance (no variant of 'sodium thiosulfate' and no UNII name for it)",0
ne 58095 anhydrous,"names a class or a group, not this page's substance (no variant of 'risedronic acid' and no UNII name for it)",0
nedius,"names a class or a group, not this page's substance (no variant of 'dexindoprofen' and no UNII name for it)",0
neisseria meningitidis outer membrane vesicles,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
nelfinaviri mesilas,"names a class or a group, not this page's substance (no variant of 'nelfinavir' and no UNII name for it)",0
neo heliopan ts,"names a class or a group, not this page's substance (no variant of 'trolamine' and no UNII name for it)",0
neomas,"names a class or a group, not this page's substance (no variant of 'neomycin' and no UNII name for it)",0
neostigmini metilsulfas,"names a class or a group, not this page's substance (no variant of 'neostigmine' and no UNII name for it)",0
nephis,"names a class or a group, not this page's substance (no variant of 'temefos' and no UNII name for it)",0
nephrotrans,"names a class or a group, not this page's substance (no variant of 'sodium bicarbonate chnao3' and no UNII name for it)",0
nevirapinum anhydrous,"names a class or a group, not this page's substance (no variant of 'nevirapine' and no UNII name for it)",0
