page_a,page_b,why_unresolved,evidence
K1:5Z6E9K79YV,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Lithium Citrate"", ""b"": ""Anhydrous Citric Acid"", ""inchikey_child"": ""HXGWMCJZLNWEBC-UHFFFAOYSA-K"", ""inchikey_parent"": ""KRKNYBCHXYNGOX-UHFFFAOYSA-N"", ""name_child"": ""lithium"", ""name_parent"": ""anhydrous citric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:5Z9SP3X666,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:5Z9SP3X666"", ""K1:4CHB7QQU1Q""], ""origin"": ""suspected-nominal:nusinersen""}"
K1:5Z9SP3X666,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:5Z9SP3X666"", ""K1:4CHB7QQU1Q""], ""origin"": ""slug-collision:nusinersen""}"
K1:62TEY51RR1,K1:O414PZ4LPZ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Bismuth Subsalicylate"", ""b"": ""Salicylic Acid"", ""inchikey_child"": ""ZREIPSZUJIFJNP-UHFFFAOYSA-K"", ""inchikey_parent"": ""YGSDEFSMJLZEOE-UHFFFAOYSA-N"", ""name_child"": ""bismuth"", ""name_parent"": ""salicylic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:6326W0DRHY,K4:tetradecyl,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Tetradecyl Hydrogen Sulfate (ESTER)"", ""b"": ""Sodium Tetradecyl"", ""gsrs_relationship"": null, ""inchikey_a"": ""GROJOWHVXQYQGN-UHFFFAOYSA-N"", ""inchikey_b"": null, ""name_a"": ""tetradecyl hydrogen sulfate ester"", ""name_b"": ""sodium tetradecyl"", ""origin"": ""suspected-nominal:tetradecyl"", ""unii_a"": ""6326W0DRHY"", ""unii_b"": null}"
K1:63G354M39Z,HOLD:existing:anhydrous-citric-acid,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Anhydrous Citric Acid"", ""b"": ""Ferric Citrate"", ""inchikey_child"": ""NPFOYSMITVOQOS-UHFFFAOYSA-K"", ""inchikey_parent"": ""KRKNYBCHXYNGOX-UHFFFAOYSA-N"", ""name_child"": ""ferric"", ""name_parent"": ""anhydrous citric acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:63G354M39Z,K1:Q91187K011,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Ferric Citrate"", ""b"": ""Tetraferric Tricitrate Decahydrate"", ""gsrs_relationship"": null, ""inchikey_a"": ""NPFOYSMITVOQOS-UHFFFAOYSA-K"", ""inchikey_b"": ""UISKQNNAQKPSDO-UHFFFAOYSA-E"", ""name_a"": ""ferric"", ""name_b"": ""tetraferric tricitrate decahydrate"", ""origin"": ""slug-collision:tetraferric-tricitrate-decahydrate"", ""unii_a"": ""63G354M39Z"", ""unii_b"": ""Q91187K011""}"
K1:63G354M39Z,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Ferric Citrate"", ""b"": ""Anhydrous Citric Acid"", ""inchikey_child"": ""NPFOYSMITVOQOS-UHFFFAOYSA-K"", ""inchikey_parent"": ""KRKNYBCHXYNGOX-UHFFFAOYSA-N"", ""name_child"": ""ferric"", ""name_parent"": ""anhydrous citric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:65R938S4DV,K1:R4R8J0Q44B,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Lactobionic Acid"", ""b"": ""Gluconic Acid"", ""inchikey_child"": ""JYTUSYBCFIZPBE-AMTLMPIISA-N"", ""inchikey_parent"": ""RGHNJXZEOKUKBD-SQOUGZDYSA-N"", ""name_child"": ""lactobionic acid"", ""name_parent"": ""gluconic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:67M901L9NQ,K1:3B8D35Y7S4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Lactic Acid, Dl"", ""b"": ""Ammonium Lactate"", ""inchikey_child"": ""RZOBLYBZQXQGFY-UHFFFAOYSA-N"", ""inchikey_parent"": ""JVTAAEKCZFNVCJ-UHFFFAOYSA-N"", ""name_child"": ""ammonium"", ""name_parent"": ""lactic acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:6B9991FLU3,K1:7RRQ8QZ38N,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Pyrvinium"", ""b"": ""PAMOIC ACID"", ""inchikey_child"": ""QMHSXPLYMTVAMK-UHFFFAOYSA-N"", ""inchikey_parent"": ""WLJNZVDCPSBLRP-UHFFFAOYSA-N"", ""name_child"": ""pyrvinium"", ""name_parent"": ""pamoic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:6EW75241VU,K1:PPP8783IQ1,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Technetium TC-99M"", ""b"": ""Technetium TC-99M Pertechnetate"", ""gsrs_relationship"": null, ""inchikey_a"": ""GKLVYJBZJHMRIY-OUBTZVSYSA-N"", ""inchikey_b"": ""UTQISYNNAQMRBN-RCUQKECRSA-M"", ""name_a"": ""technetium tc 99m"", ""name_b"": ""technetium tc 99m pertechnetate"", ""origin"": ""slug-collision:technetium-tc-99m-sodium-pertechnetate"", ""unii_a"": ""6EW75241VU"", ""unii_b"": ""PPP8783IQ1""}"
K1:6J43Y8MXF0,K4:pulsatilla,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Pulsatilla Alpina Whole"", ""b"": ""Pulsatilla"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""pulsatilla alpina whole"", ""name_b"": ""pulsatilla"", ""origin"": ""slug-collision:pulsatilla-alpina-whole"", ""unii_a"": ""6J43Y8MXF0"", ""unii_b"": null}"
K1:740T4C525W,K1:AZE05TDV2V,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Sulfafurazole"", ""b"": ""Diolamine"", ""inchikey_child"": ""NHUHCSRWZMLRLA-UHFFFAOYSA-N"", ""inchikey_parent"": ""ZBCBWPMODOFKDW-UHFFFAOYSA-N"", ""name_child"": ""sulfafurazole"", ""name_parent"": ""diolamine"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:75G4TW236W,K1:6HG8UB2MUY,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Meglumine"", ""b"": ""MEGLUMINE ANTIMONATE"", ""inchikey_child"": ""XOGYVDXPYVPAAQ-SESJOKTNSA-M"", ""inchikey_parent"": ""MBBZMMPHUWSWHV-BDVNFPICSA-N"", ""name_child"": ""meglumine antimonate"", ""name_parent"": ""meglumine"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:763YQN2K7K,K1:OJ245FE5EU,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Potassium Benzoate"", ""b"": ""Sodium Benzoate"", ""gsrs_relationship"": null, ""inchikey_a"": ""XAEFZNCEHLXOMS-UHFFFAOYSA-M"", ""inchikey_b"": ""WXMKPNITSTVMEF-UHFFFAOYSA-M"", ""name_a"": ""potassium"", ""name_b"": ""sodium"", ""origin"": ""suspected-nominal:benzoate"", ""unii_a"": ""763YQN2K7K"", ""unii_b"": ""OJ245FE5EU""}"
K1:781E2AXH0K,K1:R4R8J0Q44B,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""FERROUS GLUCONATE ANHYDROUS"", ""b"": ""Gluconic Acid"", ""inchikey_child"": ""VRIVJOXICYMTAG-IYEMJOQQSA-L"", ""inchikey_parent"": ""RGHNJXZEOKUKBD-SQOUGZDYSA-N"", ""name_child"": ""ferrous"", ""name_parent"": ""gluconic acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:7FT6QUT299,K1:ZVL325FU75,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Sodium Tetrachloroaurate"", ""b"": ""Potassium Tetrachloroaurate"", ""gsrs_relationship"": null, ""inchikey_a"": ""IXPWAPCEBHEFOV-UHFFFAOYSA-J"", ""inchikey_b"": ""JMONCQYBAMKVQQ-UHFFFAOYSA-J"", ""name_a"": ""sodium tetrachloroaurate"", ""name_b"": ""potassium tetrachloroaurate"", ""origin"": ""suspected-nominal:tetrachloroaurate"", ""unii_a"": ""7FT6QUT299"", ""unii_b"": ""ZVL325FU75""}"
K1:7G09WJ8QIR,K1:R4R8J0Q44B,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Manganese Gluconate Anhydrous"", ""b"": ""Gluconic Acid"", ""inchikey_child"": ""OXHQNTSSPHKCPB-IYEMJOQQSA-L"", ""inchikey_parent"": ""RGHNJXZEOKUKBD-SQOUGZDYSA-N"", ""name_child"": ""manganese"", ""name_parent"": ""gluconic acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:7GBN705NH1,K1:O414PZ4LPZ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Imidazole"", ""b"": ""Salicylic Acid"", ""inchikey_child"": ""RAXXELZNTBOGNW-UHFFFAOYSA-N"", ""inchikey_parent"": ""YGSDEFSMJLZEOE-UHFFFAOYSA-N"", ""name_child"": ""imidazole"", ""name_parent"": ""salicylic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:7NFE54O27T,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Toremifene"", ""b"": ""Anhydrous Citric Acid"", ""inchikey_child"": ""XFCLJVABOIYOMF-QPLCGJKRSA-N"", ""inchikey_parent"": ""KRKNYBCHXYNGOX-UHFFFAOYSA-N"", ""name_child"": ""toremifene"", ""name_parent"": ""anhydrous citric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:7NJ031HAX5,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Morantel"", ""b"": ""TARTARIC ACID"", ""inchikey_child"": ""NVEPPWDVLBMNMB-SNAWJCMRSA-N"", ""inchikey_parent"": ""FEWJPZIEWOKRBE-JCYAYHJZSA-N"", ""name_child"": ""morantel"", ""name_parent"": ""tartaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:7QWA1RIO01,K1:8EF1Z1238F,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Alpha-Tocopherol"", ""b"": ""GAMMA-TOCOPHEROL"", ""gsrs_relationship"": null, ""inchikey_a"": ""GVJHHUAWPYXKBD-UHFFFAOYSA-N"", ""inchikey_b"": ""QUEDXNHFTDJVIY-DQCZWYHMSA-N"", ""name_a"": ""alpha tocopherol"", ""name_b"": ""gamma tocopherol"", ""origin"": ""suspected-nominal:tocopherol"", ""unii_a"": ""7QWA1RIO01"", ""unii_b"": ""8EF1Z1238F""}"
K1:7UQ7X4Y489,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:7UQ7X4Y489"", ""K1:3S182ET3UA""], ""origin"": ""suspected-nominal:tinzaparin""}"
K1:7V9926378A,K1:J7IRE7H75D,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Indium IN-111 Satumomab Pendetide"", ""b"": ""Satumomab"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""indium in 111 satumomab pendetide"", ""name_b"": ""satumomab"", ""origin"": ""suspected-nominal:satumomab"", ""unii_a"": ""7V9926378A"", ""unii_b"": ""J7IRE7H75D""}"
K1:7W2581Z5L8,K1:J3TZF807X5,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Samidorphan"", ""b"": ""Malic Acid"", ""inchikey_child"": ""RYIDHLJADOKWFM-MAODMQOUSA-N"", ""inchikey_parent"": ""BJEPYKJPYRNKOW-REOHCLBHSA-N"", ""name_child"": ""samidorphan"", ""name_parent"": ""malic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:813396S1PC,K1:13S1S8SF37,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Zinc Cation"", ""b"": ""Zinc Phosphide"", ""inchikey_child"": ""IGSZOEHCOKSBEI-UHFFFAOYSA-N"", ""inchikey_parent"": ""PTFCDOFLOPIGGS-UHFFFAOYSA-N"", ""name_child"": ""zinc phosphide"", ""name_parent"": ""zinc cation"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:818ZYK7N91,K1:AB6MNQ6J6L,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""FERROUS SUCCINATE"", ""b"": ""Succinic Acid"", ""inchikey_child"": ""MDXRFOWKIZPNTA-UHFFFAOYSA-L"", ""inchikey_parent"": ""KDYFGRWQOYBRFD-UHFFFAOYSA-N"", ""name_child"": ""ferrous"", ""name_parent"": ""succinic acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:86Q357L16B,K1:13S1S8SF37,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Zinc Cation"", ""b"": ""Zinc Chloride"", ""inchikey_child"": ""JIAARYAFYJHUJI-UHFFFAOYSA-L"", ""inchikey_parent"": ""PTFCDOFLOPIGGS-UHFFFAOYSA-N"", ""name_child"": ""zinc"", ""name_parent"": ""zinc cation"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:86R1NVR0HW,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other","{""displayName"": ""POTASSIUM CITRATE ANHYDROUS"", ""normalised"": ""potassium""}"
K1:88JLS9ZM6C,K1:8BK6YA62H6,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Carotene"", ""b"": "".BETA.-CAROTENE, (13Z)-"", ""gsrs_relationship"": null, ""inchikey_a"": ""VJASLAGEYVTOGS-IQAIWTHGSA-N"", ""inchikey_b"": ""OENHQHLEOONYIE-MZMZTKINSA-N"", ""name_a"": ""carotene"", ""name_b"": ""beta carotene 13z"", ""origin"": ""suspected-nominal:carotene"", ""unii_a"": ""88JLS9ZM6C"", ""unii_b"": ""8BK6YA62H6""}"
K1:8BK6YA62H6,K1:DH369M0SOE,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": "".BETA.-CAROTENE, (13Z)-"", ""b"": ""Gamma-Carotene"", ""gsrs_relationship"": null, ""inchikey_a"": ""OENHQHLEOONYIE-MZMZTKINSA-N"", ""inchikey_b"": ""HRQKOYFGHJYEFS-BXOLYSJBSA-N"", ""name_a"": ""beta carotene 13z"", ""name_b"": ""gamma carotene"", ""origin"": ""suspected-nominal:carotene"", ""unii_a"": ""8BK6YA62H6"", ""unii_b"": ""DH369M0SOE""}"
K1:8C3Z4148WZ,K1:C269C4G2ZQ,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Alginic Acid"", ""b"": ""SODIUM ALGINATE"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""alginic acid"", ""name_b"": ""sodium alginate"", ""origin"": ""suspected-nominal:alginate"", ""unii_a"": ""8C3Z4148WZ"", ""unii_b"": ""C269C4G2ZQ""}"
K1:8EKI9QEE2H,K1:F5WR8N145C,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Calcium Iodide"", ""b"": ""Sodium Iodide"", ""gsrs_relationship"": null, ""inchikey_a"": ""UNMYWSMUMWPJLR-UHFFFAOYSA-L"", ""inchikey_b"": ""FVAUCKIRQBBSSJ-UHFFFAOYSA-M"", ""name_a"": ""calcium"", ""name_b"": ""sodium"", ""origin"": ""suspected-nominal:iodide"", ""unii_a"": ""8EKI9QEE2H"", ""unii_b"": ""F5WR8N145C""}"
K1:8KIK8VI3TB,K1:91MBZ8H3QO,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Tetraboric Acid"", ""b"": ""Sodium Borate"", ""gsrs_relationship"": null, ""inchikey_a"": ""XDVOLDOITVSJGL-UHFFFAOYSA-N"", ""inchikey_b"": ""CDMADVZSLOHIFP-UHFFFAOYSA-N"", ""name_a"": ""tetraboric acid"", ""name_b"": ""sodium borate"", ""origin"": ""suspected-nominal:borate"", ""unii_a"": ""8KIK8VI3TB"", ""unii_b"": ""91MBZ8H3QO""}"
K1:8KK1UTR6IF,K1:K848JZ4886,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""2-(((2R)-2-AMINO-2-CARBOXYETHYL)THIO)BUTANEDIOIC Acid 2-METHYL Ester"", ""b"": ""Cysteine"", ""gsrs_relationship"": null, ""inchikey_a"": ""MIUFXQAREUEISL-ROLXFIACSA-N"", ""inchikey_b"": ""XUJNEKJLAYXESH-REOHCLBHSA-N"", ""name_a"": ""2 2r 2 amino 2 carboxyethyl thio butanedioic acid 2 methyl ester"", ""name_b"": ""cysteine"", ""origin"": ""suspected-nominal:cysteine"", ""unii_a"": ""8KK1UTR6IF"", ""unii_b"": ""K848JZ4886""}"
K1:8LGU7VM393,K1:IJ67X351P9,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Rosemary Oil"", ""b"": ""Rosemary"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""rosemary oil"", ""name_b"": ""rosemary"", ""origin"": ""suspected-nominal:rosemary"", ""unii_a"": ""8LGU7VM393"", ""unii_b"": ""IJ67X351P9""}"
K1:8P20S56HZI,K1:8C3Z4148WZ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Alginic Acid"", ""b"": ""CALCIUM ALGINATE"", ""inchikey_child"": null, ""inchikey_parent"": null, ""name_child"": ""calcium alginate"", ""name_parent"": ""alginic acid"", ""origin"": ""suspected-nominal:alginate"", ""relationship"": ""target_is_salt""}"
K1:8Q759N78CX,K1:Y0C99N5TMZ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Chromic Sulfate Decahydrate"", ""b"": ""Chromic Sulfate"", ""inchikey_child"": ""DERXPFSZQYCOIC-UHFFFAOYSA-H"", ""inchikey_parent"": ""GRWVQDDAKZFPFI-UHFFFAOYSA-H"", ""name_child"": ""chromic sulfate decahydrate"", ""name_parent"": ""chromic"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:8UQ3W6JXAN,K1:0WT12SX38S,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""GLYCOLIC ACID"", ""b"": ""Nedaplatin"", ""inchikey_child"": ""GYAVMUDJCHAASE-UHFFFAOYSA-M"", ""inchikey_parent"": ""AEMRFAOFKBGASW-UHFFFAOYSA-N"", ""name_child"": ""nedaplatin"", ""name_parent"": ""glycolic acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:8V316C2371,K1:3B8D35Y7S4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Lactic Acid, Dl"", ""b"": ""Myralact"", ""inchikey_child"": ""ZUEIVCHBEQAIAL-UHFFFAOYSA-N"", ""inchikey_parent"": ""JVTAAEKCZFNVCJ-UHFFFAOYSA-N"", ""name_child"": ""myralact"", ""name_parent"": ""lactic acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:8W8T17847W,K1:H3LE856W64,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Urea"", ""b"": ""(2,4-DIMETHYLPENTAN-3-YLIDENEAMINO)UREA"", ""gsrs_relationship"": null, ""inchikey_a"": ""XSQUKJJJFZCRTK-UHFFFAOYSA-N"", ""inchikey_b"": ""FGPZLEIOVJZZCD-UHFFFAOYSA-N"", ""name_a"": ""urea"", ""name_b"": ""2 4 dimethylpentan 3 ylideneamino urea"", ""origin"": ""slug-collision:urea"", ""unii_a"": ""8W8T17847W"", ""unii_b"": ""H3LE856W64""}"
K1:9078K3MO9U,K1:4QD397987E,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Histidine"", ""b"": ""COPPER HISTIDINE"", ""inchikey_child"": ""UUYDYUZBCIHUFZ-MDTVQASCSA-L"", ""inchikey_parent"": ""HNDVDQJCIGZPNO-YFKPBYRVSA-N"", ""name_child"": ""copper histidine"", ""name_parent"": ""histidine"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:9266D9P3PQ,K1:D5NNC1X8FP,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Bendamustine"", ""b"": "".GAMMA.-HYDROXY Bendamustine"", ""gsrs_relationship"": null, ""inchikey_a"": ""YTKUWDBFDASYHO-UHFFFAOYSA-N"", ""inchikey_b"": ""GPYWLSZJZNELNN-UHFFFAOYSA-N"", ""name_a"": ""bendamustine"", ""name_b"": ""gamma hydroxy bendamustine"", ""origin"": ""suspected-nominal:bendamustine"", ""unii_a"": ""9266D9P3PQ"", ""unii_b"": ""D5NNC1X8FP""}"
K1:95QN29S1ID,K1:88XHZ13131,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Fumaric Acid"", ""b"": ""Clemastine"", ""inchikey_child"": ""YNNUSGIPVFPVBX-NHCUHLMSSA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-OWOJBTEDSA-N"", ""name_child"": ""clemastine"", ""name_parent"": ""fumaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:96P72VE680,K1:9E7R5L6H31,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""CERIUM OXALATE"", ""b"": ""Oxalic Acid"", ""inchikey_child"": ""ZMZNLKYXLARXFY-UHFFFAOYSA-H"", ""inchikey_parent"": ""MUBZPKHOEPUJKR-UHFFFAOYSA-N"", ""name_child"": ""cerium"", ""name_parent"": ""oxalic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:97F4MTY3VA,K1:V561V90BG2,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""SODIUM PERCHLORATE"", ""b"": ""Perchloric Acid"", ""gsrs_relationship"": null, ""inchikey_a"": ""BAZAXWOYCMUHIX-UHFFFAOYSA-M"", ""inchikey_b"": ""VLTRZXGMWDSKGL-UHFFFAOYSA-N"", ""name_a"": ""sodium perchlorate"", ""name_b"": ""perchloric acid"", ""origin"": ""suspected-nominal:perchlorate"", ""unii_a"": ""97F4MTY3VA"", ""unii_b"": ""V561V90BG2""}"
K1:97Z1WI3NDX,K1:B7862WZ632,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Calcium Phosphate, Unspecified Form"", ""b"": ""Potassium Phosphate, Unspecified Form"", ""gsrs_relationship"": null, ""inchikey_a"": ""QORWJWZARLRLPR-UHFFFAOYSA-H"", ""inchikey_b"": ""GNSKLFRGEWLPPA-UHFFFAOYSA-M"", ""name_a"": ""calcium phosphate unspecified form"", ""name_b"": ""potassium phosphate unspecified form"", ""origin"": ""suspected-nominal:unspecified form"", ""unii_a"": ""97Z1WI3NDX"", ""unii_b"": ""B7862WZ632""}"
K1:9B44647H2S,K1:Y41JS2NL6U,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""O-(DESISOPROPYL) Bisoprolol Acid"", ""b"": ""Bisoprolol"", ""gsrs_relationship"": null, ""inchikey_a"": ""ZEAYEMJBEYLWSQ-UHFFFAOYSA-N"", ""inchikey_b"": ""VHYCDWMUTMEGQY-UHFFFAOYSA-N"", ""name_a"": ""o desisopropyl bisoprolol acid"", ""name_b"": ""bisoprolol"", ""origin"": ""suspected-nominal:bisoprolol"", ""unii_a"": ""9B44647H2S"", ""unii_b"": ""Y41JS2NL6U""}"
K1:9G0JE54296,K4:cedrus libani,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Cedrus Libani Whole"", ""b"": ""Cedrus Libani"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""cedrus libani whole"", ""name_b"": ""cedrus libani"", ""origin"": ""suspected-nominal:cedrus libani"", ""unii_a"": ""9G0JE54296"", ""unii_b"": null}"
K1:9HDT03PZ0N,K4:vitex agnus castus,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Vitex Agnus-Castus Whole"", ""b"": ""Vitex Agnus-Castus"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""vitex agnus castus whole"", ""name_b"": ""vitex agnus castus"", ""origin"": ""suspected-nominal:vitex agnus castus"", ""unii_a"": ""9HDT03PZ0N"", ""unii_b"": null}"
K1:9J1H7Y9OJV,K1:88XHZ13131,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Fumaric Acid"", ""b"": ""Emedastine"", ""inchikey_child"": ""KBUZBQVCBVDWKX-UHFFFAOYSA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-OWOJBTEDSA-N"", ""name_child"": ""emedastine"", ""name_parent"": ""fumaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:9K730EL8KU,K1:F0Z746KRKQ,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""RUBIDIUM RB-82"", ""b"": ""Rubidium Chloride Rb-82"", ""gsrs_relationship"": null, ""inchikey_a"": ""IGLNJRXAVVLDKE-OIOBTWANSA-N"", ""inchikey_b"": ""FGDZQCVHDSGLHJ-RYDPDVNUSA-M"", ""name_a"": ""rubidium rb 82"", ""name_b"": ""rubidium chloride rb 82"", ""origin"": ""slug-collision:rubidium-chloride-rb-82"", ""unii_a"": ""9K730EL8KU"", ""unii_b"": ""F0Z746KRKQ""}"
K1:9L5JEP7MES,K4:panax ginseng,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Panax Ginseng Whole"", ""b"": ""Panax Ginseng"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""panax ginseng whole"", ""name_b"": ""panax ginseng"", ""origin"": ""suspected-nominal:panax ginseng"", ""unii_a"": ""9L5JEP7MES"", ""unii_b"": null}"
